date,geography,distinct_patient_count R01 Nasal preparations 0-200,distinct_patient_count R01 Nasal preparations 1-4,distinct_patient_count R01 Nasal preparations 15-34,distinct_patient_count R01 Nasal preparations 35-59,distinct_patient_count R01 Nasal preparations 5-14,distinct_patient_count R01 Nasal preparations 60-79,distinct_patient_count R01 Nasal preparations 80+,distinct_patient_count R01 Nasal preparations <1,distinct_patient_count R02 Throat preparations 0-200,distinct_patient_count R02 Throat preparations 1-4,distinct_patient_count R02 Throat preparations 15-34,distinct_patient_count R02 Throat preparations 35-59,distinct_patient_count R02 Throat preparations 5-14,distinct_patient_count R02 Throat preparations 60-79,distinct_patient_count R02 Throat preparations 80+,distinct_patient_count R03 Drugs for obstructive airway diseases 0-200,distinct_patient_count R03 Drugs for obstructive airway diseases 1-4,distinct_patient_count R03 Drugs for obstructive airway diseases 15-34,distinct_patient_count R03 Drugs for obstructive airway diseases 35-59,distinct_patient_count R03 Drugs for obstructive airway diseases 5-14,distinct_patient_count R03 Drugs for obstructive airway diseases 60-79,distinct_patient_count R03 Drugs for obstructive airway diseases 80+,distinct_patient_count R03 Drugs for obstructive airway diseases <1,distinct_patient_count R05 Cough and cold preparations 0-200,distinct_patient_count R05 Cough and cold preparations 1-4,distinct_patient_count R05 Cough and cold preparations 15-34,distinct_patient_count R05 Cough and cold preparations 35-59,distinct_patient_count R05 Cough and cold preparations 5-14,distinct_patient_count R05 Cough and cold preparations 60-79,distinct_patient_count R05 Cough and cold preparations 80+,distinct_patient_count R05 Cough and cold preparations <1,distinct_patient_count R06 Antihistamines for systemic use 0-200,distinct_patient_count R06 Antihistamines for systemic use 1-4,distinct_patient_count R06 Antihistamines for systemic use 15-34,distinct_patient_count R06 Antihistamines for systemic use 35-59,distinct_patient_count R06 Antihistamines for systemic use 5-14,distinct_patient_count R06 Antihistamines for systemic use 60-79,distinct_patient_count R06 Antihistamines for systemic use 80+,distinct_patient_count R06 Antihistamines for systemic use <1
2023-01-09,DE.HE,277.0,4.0,48.0,111.0,22.0,45.0,47.0,0.0,85.0,0.0,30.0,33.0,5.0,11.0,6.0,1028.0,2.0,64.0,343.0,13.0,230.0,376.0,0.0,457.0,4.0,94.0,154.0,19.0,79.0,107.0,0.0,221.0,3.0,27.0,86.0,9.0,30.0,66.0,0.0
2023-01-09,DE.MV,30.0,3.0,6.0,5.0,4.0,5.0,7.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,134.0,0.0,10.0,40.0,0.0,35.0,49.0,0.0,101.0,2.0,12.0,30.0,4.0,24.0,29.0,0.0,31.0,0.0,4.0,7.0,2.0,3.0,15.0,0.0
2023-01-09,DE.NI,243.0,7.0,43.0,85.0,25.0,35.0,48.0,0.0,56.0,0.0,15.0,22.0,4.0,4.0,11.0,1523.0,0.0,110.0,466.0,10.0,379.0,558.0,0.0,566.0,10.0,71.0,198.0,17.0,108.0,162.0,0.0,281.0,2.0,41.0,95.0,8.0,40.0,95.0,0.0
2023-01-09,DE.NW,599.0,36.0,123.0,197.0,38.0,98.0,107.0,0.0,115.0,0.0,45.0,39.0,2.0,15.0,14.0,2942.0,19.0,203.0,859.0,12.0,756.0,1093.0,0.0,1291.0,25.0,217.0,441.0,36.0,224.0,348.0,0.0,623.0,8.0,100.0,178.0,23.0,129.0,185.0,0.0
2023-01-09,DE.RP,126.0,2.0,19.0,37.0,18.0,29.0,21.0,0.0,31.0,0.0,9.0,12.0,2.0,4.0,4.0,586.0,0.0,34.0,182.0,4.0,164.0,202.0,0.0,236.0,6.0,34.0,76.0,16.0,34.0,70.0,0.0,129.0,3.0,16.0,40.0,4.0,19.0,47.0,0.0
2023-01-09,DE.SL,60.0,4.0,12.0,21.0,8.0,7.0,8.0,0.0,15.0,0.0,5.0,3.0,0.0,4.0,3.0,396.0,0.0,28.0,101.0,5.0,109.0,153.0,0.0,154.0,4.0,23.0,45.0,16.0,30.0,36.0,0.0,75.0,0.0,16.0,20.0,3.0,12.0,24.0,0.0
2023-01-09,DE.SN,40.0,2.0,9.0,11.0,5.0,6.0,7.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,165.0,0.0,7.0,33.0,0.0,37.0,88.0,0.0,119.0,0.0,12.0,32.0,6.0,19.0,50.0,0.0,39.0,0.0,6.0,5.0,4.0,9.0,15.0,0.0
2023-01-09,DE.ST,69.0,0.0,10.0,30.0,3.0,13.0,13.0,0.0,20.0,0.0,6.0,6.0,2.0,3.0,3.0,321.0,0.0,17.0,80.0,2.0,86.0,136.0,0.0,205.0,3.0,14.0,60.0,3.0,45.0,80.0,0.0,81.0,2.0,14.0,11.0,6.0,9.0,39.0,0.0
2023-01-09,DE.SH,143.0,0.0,34.0,57.0,3.0,15.0,32.0,0.0,15.0,0.0,6.0,7.0,0.0,0.0,2.0,769.0,0.0,70.0,217.0,2.0,160.0,318.0,0.0,223.0,0.0,36.0,65.0,7.0,30.0,85.0,0.0,155.0,0.0,27.0,44.0,4.0,31.0,49.0,0.0
2023-01-09,DE.TH,78.0,5.0,16.0,21.0,3.0,18.0,15.0,0.0,15.0,0.0,9.0,4.0,0.0,0.0,2.0,379.0,0.0,29.0,84.0,3.0,98.0,165.0,0.0,218.0,6.0,25.0,57.0,10.0,38.0,82.0,0.0,71.0,0.0,12.0,21.0,2.0,7.0,29.0,0.0
2023-01-16,DE.BW,392.0,7.0,87.0,152.0,27.0,64.0,55.0,0.0,159.0,0.0,62.0,57.0,8.0,16.0,16.0,1166.0,6.0,104.0,336.0,4.0,271.0,445.0,0.0,784.0,5.0,157.0,280.0,31.0,123.0,188.0,0.0,323.0,2.0,68.0,77.0,17.0,50.0,109.0,0.0
2023-01-16,DE.BY,415.0,39.0,93.0,129.0,49.0,47.0,58.0,0.0,101.0,0.0,36.0,39.0,4.0,13.0,9.0,1182.0,8.0,87.0,351.0,17.0,257.0,462.0,0.0,714.0,32.0,127.0,183.0,60.0,123.0,189.0,0.0,274.0,3.0,45.0,82.0,18.0,46.0,80.0,0.0
2023-01-16,DE.BE,66.0,0.0,12.0,31.0,6.0,9.0,8.0,0.0,8.0,0.0,2.0,6.0,0.0,0.0,0.0,274.0,0.0,22.0,92.0,0.0,66.0,94.0,0.0,111.0,0.0,12.0,37.0,6.0,27.0,29.0,0.0,34.0,0.0,4.0,12.0,0.0,10.0,8.0,0.0
2023-01-16,DE.BB,41.0,6.0,7.0,10.0,7.0,3.0,8.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,130.0,7.0,6.0,36.0,3.0,28.0,50.0,0.0,51.0,5.0,7.0,16.0,5.0,6.0,12.0,0.0,34.0,0.0,7.0,10.0,2.0,6.0,9.0,0.0
2023-01-16,DE.HB,37.0,8.0,2.0,15.0,7.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,114.0,2.0,19.0,34.0,2.0,23.0,34.0,0.0,55.0,10.0,7.0,18.0,8.0,4.0,8.0,0.0,36.0,4.0,6.0,9.0,5.0,5.0,7.0,0.0
2023-01-16,DE.HH,55.0,2.0,18.0,13.0,3.0,8.0,11.0,0.0,10.0,0.0,2.0,6.0,0.0,2.0,0.0,207.0,0.0,10.0,51.0,0.0,45.0,101.0,0.0,93.0,4.0,18.0,30.0,6.0,13.0,22.0,0.0,50.0,0.0,6.0,13.0,0.0,12.0,19.0,0.0
2023-01-16,DE.HE,207.0,15.0,45.0,69.0,19.0,32.0,27.0,0.0,74.0,0.0,25.0,34.0,0.0,6.0,9.0,825.0,3.0,63.0,246.0,11.0,191.0,311.0,0.0,345.0,12.0,54.0,107.0,35.0,47.0,90.0,0.0,178.0,2.0,31.0,52.0,9.0,31.0,53.0,0.0
2023-01-16,DE.MV,49.0,9.0,2.0,9.0,12.0,10.0,7.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,115.0,3.0,7.0,33.0,2.0,29.0,41.0,0.0,92.0,6.0,10.0,24.0,11.0,11.0,30.0,0.0,27.0,0.0,0.0,9.0,2.0,7.0,9.0,0.0
2023-01-16,DE.NI,256.0,17.0,51.0,71.0,23.0,47.0,47.0,0.0,49.0,0.0,18.0,18.0,3.0,5.0,5.0,1439.0,5.0,114.0,429.0,14.0,360.0,517.0,0.0,396.0,14.0,58.0,118.0,30.0,55.0,121.0,0.0,297.0,2.0,61.0,88.0,10.0,49.0,87.0,0.0
2023-01-16,DE.NW,558.0,44.0,111.0,190.0,51.0,86.0,76.0,0.0,82.0,0.0,26.0,33.0,5.0,10.0,8.0,2635.0,19.0,192.0,791.0,22.0,689.0,922.0,0.0,951.0,32.0,174.0,303.0,55.0,175.0,212.0,0.0,555.0,6.0,92.0,178.0,17.0,86.0,176.0,0.0
2023-01-16,DE.RP,127.0,6.0,21.0,43.0,31.0,18.0,8.0,0.0,29.0,0.0,13.0,5.0,4.0,2.0,5.0,527.0,2.0,31.0,154.0,7.0,147.0,186.0,0.0,223.0,17.0,42.0,60.0,30.0,33.0,41.0,0.0,97.0,0.0,16.0,30.0,6.0,19.0,26.0,0.0
2023-01-16,DE.SL,77.0,0.0,12.0,26.0,7.0,15.0,17.0,0.0,19.0,0.0,12.0,5.0,0.0,0.0,2.0,368.0,0.0,30.0,110.0,5.0,94.0,129.0,0.0,117.0,3.0,21.0,35.0,12.0,21.0,25.0,0.0,62.0,0.0,13.0,15.0,4.0,8.0,22.0,0.0
2023-01-16,DE.SN,49.0,0.0,16.0,15.0,9.0,5.0,4.0,0.0,12.0,0.0,5.0,5.0,0.0,2.0,0.0,152.0,0.0,5.0,26.0,2.0,38.0,81.0,0.0,100.0,3.0,12.0,33.0,4.0,17.0,31.0,0.0,33.0,0.0,0.0,7.0,4.0,5.0,17.0,0.0
2023-01-16,DE.ST,64.0,2.0,15.0,24.0,6.0,9.0,8.0,0.0,28.0,0.0,13.0,8.0,5.0,2.0,0.0,248.0,0.0,12.0,82.0,2.0,55.0,97.0,0.0,152.0,9.0,16.0,35.0,11.0,32.0,49.0,0.0,64.0,0.0,9.0,14.0,2.0,10.0,29.0,0.0
2023-01-16,DE.SH,142.0,2.0,36.0,52.0,11.0,22.0,19.0,0.0,16.0,0.0,6.0,6.0,0.0,2.0,2.0,702.0,2.0,54.0,199.0,0.0,169.0,278.0,0.0,165.0,2.0,13.0,42.0,7.0,33.0,68.0,0.0,136.0,0.0,21.0,39.0,2.0,24.0,50.0,0.0
2023-01-16,DE.TH,93.0,8.0,21.0,29.0,10.0,15.0,10.0,0.0,12.0,0.0,5.0,3.0,0.0,2.0,2.0,332.0,2.0,26.0,91.0,0.0,97.0,116.0,0.0,134.0,3.0,17.0,33.0,5.0,29.0,47.0,0.0,64.0,0.0,11.0,18.0,4.0,7.0,24.0,0.0
2023-01-23,DE.BW,376.0,8.0,104.0,133.0,37.0,46.0,48.0,0.0,156.0,0.0,65.0,58.0,11.0,12.0,10.0,1066.0,0.0,85.0,365.0,11.0,247.0,358.0,0.0,767.0,12.0,169.0,262.0,53.0,116.0,155.0,0.0,288.0,0.0,55.0,90.0,18.0,37.0,88.0,0.0
2023-01-23,DE.BY,445.0,41.0,80.0,127.0,91.0,60.0,46.0,0.0,125.0,2.0,38.0,40.0,14.0,14.0,17.0,1141.0,12.0,93.0,371.0,24.0,227.0,414.0,0.0,720.0,36.0,147.0,200.0,72.0,95.0,170.0,0.0,272.0,7.0,51.0,79.0,18.0,34.0,83.0,0.0
2023-01-23,DE.BE,79.0,5.0,22.0,21.0,15.0,10.0,6.0,0.0,8.0,0.0,6.0,2.0,0.0,0.0,0.0,252.0,0.0,15.0,81.0,2.0,66.0,88.0,0.0,95.0,0.0,20.0,31.0,9.0,14.0,21.0,0.0,50.0,0.0,10.0,10.0,0.0,11.0,19.0,0.0
2023-01-23,DE.BB,35.0,0.0,7.0,6.0,18.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,144.0,6.0,10.0,36.0,5.0,31.0,56.0,0.0,53.0,0.0,7.0,11.0,12.0,10.0,13.0,0.0,38.0,2.0,4.0,10.0,0.0,10.0,12.0,0.0
2023-01-23,DE.HB,46.0,12.0,8.0,8.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,4.0,12.0,44.0,3.0,28.0,29.0,0.0,59.0,14.0,5.0,13.0,11.0,6.0,10.0,0.0,41.0,3.0,11.0,8.0,5.0,3.0,11.0,0.0
2023-01-23,DE.HH,49.0,0.0,13.0,18.0,6.0,5.0,7.0,0.0,16.0,0.0,3.0,11.0,0.0,0.0,2.0,173.0,0.0,9.0,50.0,0.0,39.0,75.0,0.0,92.0,0.0,16.0,43.0,9.0,7.0,15.0,0.0,43.0,0.0,8.0,14.0,0.0,5.0,16.0,0.0
2023-01-23,DE.HE,222.0,9.0,56.0,69.0,27.0,31.0,30.0,0.0,74.0,0.0,27.0,22.0,3.0,12.0,10.0,775.0,6.0,71.0,230.0,18.0,166.0,284.0,0.0,350.0,8.0,73.0,100.0,30.0,58.0,81.0,0.0,185.0,0.0,35.0,55.0,7.0,25.0,63.0,0.0
2023-01-23,DE.MV,56.0,4.0,10.0,17.0,14.0,8.0,3.0,0.0,7.0,0.0,2.0,5.0,0.0,0.0,0.0,121.0,0.0,8.0,45.0,2.0,22.0,44.0,0.0,100.0,4.0,10.0,31.0,21.0,14.0,20.0,0.0,36.0,0.0,6.0,11.0,4.0,4.0,11.0,0.0
2023-01-23,DE.NI,242.0,13.0,29.0,75.0,47.0,46.0,32.0,0.0,38.0,0.0,23.0,10.0,0.0,2.0,3.0,1355.0,4.0,117.0,438.0,10.0,309.0,477.0,0.0,389.0,13.0,62.0,106.0,52.0,62.0,94.0,0.0,315.0,7.0,66.0,92.0,16.0,39.0,95.0,0.0
2023-01-23,DE.NW,619.0,47.0,118.0,202.0,97.0,72.0,81.0,2.0,112.0,0.0,47.0,40.0,8.0,8.0,9.0,2448.0,12.0,202.0,743.0,33.0,622.0,836.0,0.0,1033.0,30.0,187.0,328.0,109.0,156.0,223.0,0.0,556.0,5.0,91.0,171.0,29.0,94.0,166.0,0.0
2023-01-23,DE.RP,159.0,11.0,30.0,55.0,26.0,17.0,20.0,0.0,23.0,0.0,8.0,10.0,0.0,5.0,0.0,457.0,2.0,29.0,153.0,9.0,113.0,151.0,0.0,230.0,23.0,26.0,52.0,38.0,36.0,55.0,0.0,121.0,3.0,18.0,29.0,8.0,21.0,42.0,0.0
2023-01-23,DE.SL,68.0,2.0,12.0,23.0,11.0,12.0,8.0,0.0,11.0,0.0,5.0,4.0,0.0,2.0,0.0,357.0,0.0,21.0,110.0,2.0,115.0,109.0,0.0,138.0,3.0,26.0,38.0,22.0,22.0,27.0,0.0,67.0,0.0,13.0,17.0,3.0,10.0,24.0,0.0
2023-01-23,DE.SN,52.0,0.0,8.0,13.0,14.0,7.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,135.0,0.0,3.0,34.0,0.0,32.0,66.0,0.0,83.0,0.0,16.0,26.0,5.0,8.0,28.0,0.0,32.0,0.0,6.0,6.0,0.0,3.0,17.0,0.0
2023-01-23,DE.ST,64.0,4.0,6.0,20.0,13.0,7.0,14.0,0.0,38.0,0.0,13.0,11.0,6.0,4.0,4.0,236.0,2.0,16.0,67.0,3.0,59.0,89.0,0.0,176.0,8.0,34.0,48.0,16.0,30.0,40.0,0.0,68.0,0.0,6.0,20.0,10.0,13.0,19.0,0.0
2023-01-23,DE.SH,142.0,5.0,37.0,51.0,7.0,22.0,20.0,0.0,10.0,0.0,4.0,3.0,0.0,0.0,3.0,673.0,0.0,41.0,186.0,3.0,155.0,288.0,0.0,149.0,0.0,17.0,47.0,5.0,22.0,58.0,0.0,169.0,0.0,27.0,49.0,4.0,27.0,62.0,0.0
2023-01-23,DE.TH,95.0,5.0,19.0,33.0,10.0,16.0,12.0,0.0,11.0,0.0,0.0,4.0,0.0,4.0,3.0,341.0,0.0,20.0,93.0,7.0,84.0,137.0,0.0,141.0,5.0,18.0,40.0,14.0,26.0,38.0,0.0,74.0,0.0,16.0,19.0,2.0,10.0,27.0,0.0
2023-01-30,DE.BW,447.0,4.0,116.0,177.0,43.0,59.0,48.0,0.0,173.0,0.0,78.0,68.0,10.0,11.0,6.0,1090.0,4.0,122.0,360.0,17.0,229.0,358.0,0.0,858.0,11.0,180.0,311.0,59.0,141.0,156.0,0.0,299.0,0.0,71.0,108.0,11.0,35.0,74.0,0.0
2023-01-30,DE.BY,461.0,44.0,91.0,127.0,93.0,52.0,54.0,0.0,139.0,0.0,40.0,43.0,11.0,22.0,23.0,1091.0,10.0,95.0,347.0,21.0,234.0,384.0,0.0,803.0,44.0,152.0,229.0,115.0,98.0,165.0,0.0,313.0,7.0,64.0,81.0,36.0,38.0,87.0,0.0
2023-01-30,DE.BE,52.0,0.0,15.0,17.0,5.0,5.0,10.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,255.0,0.0,21.0,87.0,0.0,62.0,85.0,0.0,85.0,0.0,19.0,30.0,2.0,13.0,21.0,0.0,41.0,0.0,8.0,8.0,0.0,10.0,15.0,0.0
2023-01-30,DE.BB,26.0,6.0,0.0,5.0,9.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,105.0,9.0,4.0,32.0,2.0,21.0,37.0,0.0,28.0,0.0,0.0,8.0,4.0,7.0,9.0,0.0,15.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0
2023-01-30,DE.HB,32.0,9.0,8.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,4.0,18.0,32.0,0.0,25.0,26.0,0.0,50.0,12.0,9.0,12.0,6.0,6.0,5.0,0.0,32.0,4.0,3.0,8.0,3.0,6.0,8.0,0.0
2023-01-30,DE.HH,56.0,2.0,17.0,15.0,3.0,9.0,10.0,0.0,7.0,0.0,4.0,0.0,3.0,0.0,0.0,191.0,0.0,18.0,45.0,0.0,57.0,71.0,0.0,105.0,3.0,28.0,35.0,7.0,19.0,13.0,0.0,44.0,0.0,10.0,17.0,0.0,3.0,14.0,0.0
2023-01-30,DE.HE,257.0,7.0,58.0,100.0,23.0,44.0,25.0,0.0,88.0,0.0,37.0,34.0,5.0,4.0,8.0,877.0,3.0,72.0,285.0,14.0,209.0,294.0,0.0,367.0,6.0,77.0,127.0,37.0,57.0,63.0,0.0,199.0,3.0,39.0,68.0,9.0,27.0,53.0,0.0
